LFE5U-12-TG144

Pin, Unit, Type, Name
1,7,bidirectional,PL5C/+/LDQ8
3,7,bidirectional,PL5B/-/HS/LDQ8
2,7,bidirectional,PL5D/-/LDQ8
4,7,bidirectional,PL8A/+/HS/LDQS8
5,7,bidirectional,PL8C/+/LDQ8
6,7,bidirectional,PL8B/-/HS/LDQSN8
7,7,bidirectional,PL8D/-/LDQ8
9,7,power_in,VCCIO7
10,7,bidirectional,PL14A/+/HS/LDQ20
11,7,bidirectional,PL14C/+/LDQ20/VREF1_7
12,7,bidirectional,PL14B/-/HS/LDQ20
13,7,bidirectional,PL14D/-/LDQ20
14,7,bidirectional,PL23D/-/LDQ20/PCLKC7_0
18,6,bidirectional,PL32B/-/HS/LDQSN32
22,6,bidirectional,PL35C/+/LDQ32
19,6,bidirectional,PL35B/-/HS/LDQ32/VREF1_6
23,6,bidirectional,PL35D/-/LDQ32
24,6,bidirectional,PL38A/+/HS/LDQ44
25,6,bidirectional,PL38B/-/HS/LDQ44
26,6,bidirectional,PL41C/+/LDQ44
27,6,bidirectional,PL41D/-/LDQ44
28,6,bidirectional,PL44A/+/HS/LDQS44
31,6,bidirectional,PL44C/+/LDQ44
30,6,bidirectional,PL44B/-/HS/LDQSN44
33,6,bidirectional,PL44D/-/LDQ44
34,6,bidirectional,PL47A/+/HS/LDQ44
32,6,power_out,VSSIO6
35,6,bidirectional,PL47B/-/HS/LDQ44
37,6,bidirectional,PL47C/+/LDQ44/LLC_GPLL0T_IN
40,8,bidirectional,PB4A/+/D7/IO7
39,8,bidirectional,PB6A/+/D5/MISO2/IO5
44,8,bidirectional,PB4B/-/D6/IO6
41,8,bidirectional,PB6B/-/D4/MOSI2/IO4
45,8,bidirectional,PB9A/+/D3/IO3
46,8,bidirectional,PB11A/+/D1/MISO/IO1
47,8,bidirectional,PB11B/-/D0/MOSI/IO0
43,8,power_in,VCCIO8
48,8,bidirectional,PB13A/+/SN/CSN
49,8,bidirectional,PB15A/+/HOLDN/DI/BUSY/CSSPIN/CEN
50,8,bidirectional,PB13B/-/CS1N
51,8,bidirectional,PB15B/-/DOUT/CSON
52,8,bidirectional,PB18A/WRITEN
55,8,bidirectional,INITN
54,8,bidirectional,CCLK/MCLK/SCK
57,8,bidirectional,PROGRAMN
56,8,bidirectional,DONE
59,8,bidirectional,CFG_1
58,8,bidirectional,CFG_2
62,8,bidirectional,CFG_0
60,40,bidirectional,TDO
63,40,bidirectional,TCK
61,40,bidirectional,TDI
64,40,bidirectional,TMS
68,3,bidirectional,PR47D/-/RDQ44/LRC_GPLL0C_IN
69,3,bidirectional,PR47C/+/RDQ44/LRC_GPLL0T_IN
67,3,bidirectional,PR47B/-/HS/RDQ44
71,3,bidirectional,PR47A/+/HS/RDQ44
72,3,bidirectional,PR44C/+/RDQ44
73,3,bidirectional,PR41D/-/RDQ44
76,3,bidirectional,PR41B/-/HS/RDQ44
74,3,bidirectional,PR41C/+/RDQ44
77,3,bidirectional,PR41A/+/HS/RDQ44
78,3,bidirectional,PR35D/-/RDQ32
79,3,bidirectional,PR35B/-/HS/RDQ32/VREF1_3
80,3,bidirectional,PR35C/+/RDQ32
81,3,bidirectional,PR35A/+/HS/RDQ32
82,3,bidirectional,PR32D/-/RDQ32
84,3,bidirectional,PR32C/+/RDQ32
88,2,bidirectional,PR23D/-/RDQ20/PCLKC2_0
89,2,bidirectional,PR23B/-/HS/RDQ20/PCLKC2_1
90,2,bidirectional,PR23C/+/RDQ20/PCLKT2_0
91,2,bidirectional,PR23A/+/HS/RDQ20/PCLKT2_1
92,2,bidirectional,PR20D/-/RDQ20
93,2,bidirectional,PR20B/-/HS/RDQSN20
94,2,bidirectional,PR20C/+/RDQ20/GR_PCLK2_0
95,2,bidirectional,PR20A/+/HS/RDQS20/GR_PCLK2_1
97,2,bidirectional,PR14B/-/HS/RDQ20
98,2,bidirectional,PR14C/+/RDQ20/VREF1_2
99,2,bidirectional,PR14A/+/HS/RDQ20
100,2,power_in,VCCIO2
102,2,bidirectional,PR8D/-/RDQ8
103,2,bidirectional,PR8B/-/HS/RDQSN8
104,2,bidirectional,PR8C/+/RDQ8
105,2,bidirectional,PR8A/+/HS/RDQS8
106,2,bidirectional,PR2D/-/RDQ8
107,2,bidirectional,PR2C/+/RDQ8
108,2,bidirectional,PR2B/-/HS/RDQ8/S0_IN
110,1,bidirectional,PT67A/+
111,1,bidirectional,PT62B/-
113,1,bidirectional,PT60B/-
112,1,bidirectional,PT62A/+
114,1,bidirectional,PT60A/+
115,1,bidirectional,PT58B/-
117,1,bidirectional,PT56B/-
116,1,bidirectional,PT58A/+
118,1,bidirectional,PT56A/+
119,1,bidirectional,PT53B/-
120,1,bidirectional,PT53A/+
121,1,bidirectional,PT51A/+
122,1,power_in,VCCIO1
124,1,bidirectional,PT42B/-
125,1,bidirectional,PT42A/+
126,1,bidirectional,PT40B/-
127,1,bidirectional,PT40A/+
128,0,bidirectional,PT29A/+/PCLKT0_0
133,0,bidirectional,PT15B/-
135,0,bidirectional,PT13B/-
134,0,bidirectional,PT15A/+
136,0,bidirectional,PT13A/+
137,0,power_in,VCCIO0
139,0,bidirectional,PT9B/-
140,0,bidirectional,PT9A/+
141,0,bidirectional,PT6B/-
142,0,bidirectional,PT4B/-
143,0,bidirectional,PT6A/+
20,0,power_in,VCC
29,0,power_in,VCC
66,0,power_in,VCC
83,0,power_in,VCC
130,0,power_in,VCC
38,0,power_in,VCC
17,0,power_in,VCCAUX
53,0,power_in,VCCAUX
96,0,power_in,VCCAUX
132,0,power_in,VCCAUX
70,3,power_in,VCCIO3
86,3,power_in,VCCIO3
16,6,power_in,VCCIO6
36,6,power_in,VCCIO6
8,6,power_out,GND
15,6,power_out,GND
21,6,power_out,GND
42,6,power_out,GND
65,6,power_out,GND
75,6,power_out,GND
85,6,power_out,GND
87,6,power_out,GND
101,6,power_out,GND
123,6,power_out,GND
129,6,power_out,GND
131,6,power_out,GND
138,6,power_out,GND
109,6,bidirectional,NC
144,6,bidirectional,NC
